Pcode,Town,District,dis_code,Province,Geo_x,Geo_y,B,S,Ignore_prov,Ignore_district,Ignore_description
1742,KRUGERSDORP WEST,West Rand District Municipality,DC48,Gauteng,-26.09766,27.74527,Y,Y,Gauteng,DC48,West Rand District Municipality
1743,LUIPAARDSVLEI,West Rand District Municipality,DC48,Gauteng,-26.1122917,27.7837225,Y,Y,Gauteng,DC48,West Rand District Municipality
1744,KAGISO,West Rand District Municipality,DC48,Gauteng,-26.15973,27.78634,Y,Y,Gauteng,DC48,West Rand District Municipality
1745,KENMARE,West Rand District Municipality,DC48,Gauteng,-26.108731,27.807722,Y,Y,Gauteng,DC48,West Rand District Municipality
1746,FEATHERBROOKE EST,West Rand District Municipality,DC48,Gauteng,-26.1049069,27.7754416,Y,Y,Gauteng,DC48,West Rand District Municipality
1747,MULDERSDRIF,West Rand District Municipality,DC48,Gauteng,-26.0616337,27.8364797,Y,Y,Gauteng,DC48,West Rand District Municipality
1748,LANSERIA,West Rand District Municipality,DC48,Gauteng,-25.937751,27.926416,Y,Y,Gauteng,DC48,West Rand District Municipality
1749,TARLTON,West Rand District Municipality,DC48,Gauteng,-26.09143,27.66503,Y,Y,Gauteng,DC48,West Rand District Municipality
1750,AZAADVILLE,West Rand District Municipality,DC48,Gauteng,-26.169258,27.758592,Y,Y,Gauteng,DC48,West Rand District Municipality
1751,RANT-EN-DAL,West Rand District Municipality,DC48,Gauteng,-26.07476,27.76646,Y,Y,Gauteng,DC48,West Rand District Municipality
1752,PAARDEKRAAL,West Rand District Municipality,DC48,Gauteng,-26.0945002,27.777413,Y,Y,Gauteng,DC48,West Rand District Municipality
1753,RIETVLEI,West Rand District Municipality,DC48,Gauteng,-25.8933333,28.2955556,Y,Y,Gauteng,DC48,West Rand District Municipality
1754,KAGISO 2 EXT 6,West Rand District Municipality,DC48,Gauteng,-26.1660349,27.77886,Y,Y,Gauteng,DC48,West Rand District Municipality
1755,KAGISO NOORD,West Rand District Municipality,DC48,Gauteng,-26.15973,27.78634,Y,Y,Gauteng,DC48,West Rand District Municipality
1756,NOORDHEUWEL EXT 4,West Rand District Municipality,DC48,Gauteng,-26.08686,27.80899,Y,Y,Gauteng,DC48,West Rand District Municipality
1758,KAGISO EAST,West Rand District Municipality,DC48,Gauteng,-26.15973,27.78634,Y,Y,Gauteng,DC48,West Rand District Municipality
1759,AUREUS,West Rand District Municipality,DC48,Gauteng,-26.1946076,27.6874838,Y,Y,Gauteng,DC48,West Rand District Municipality
1760,RANDFONTEIN,West Rand District Municipality,DC48,Gauteng,-26.1605499,27.70947,Y,Y,Gauteng,DC48,West Rand District Municipality
1763,RANDGATE,West Rand District Municipality,DC48,Gauteng,-26.17083,27.68399,Y,Y,Gauteng,DC48,West Rand District Municipality
1764,GRASLAND,West Rand District Municipality,DC48,Gauteng,-26.1605499,27.70947,Y,Y,Gauteng,DC48,West Rand District Municipality
1765,TOEKOMSRUS,West Rand District Municipality,DC48,Gauteng,-26.20666,27.70516,Y,Y,Gauteng,DC48,West Rand District Municipality
1766,MOHLAKENG,West Rand District Municipality,DC48,Gauteng,-26.216,27.6981222,Y,Y,Gauteng,DC48,West Rand District Municipality
1767,GREENHILLS,West Rand District Municipality,DC48,Gauteng,-26.16772,27.71895,Y,Y,Gauteng,DC48,West Rand District Municipality
1771,HELIKONPARK,West Rand District Municipality,DC48,Gauteng,-26.18592,27.67833,Y,Y,Gauteng,DC48,West Rand District Municipality
1772,BEKKERSDAL,West Rand District Municipality,DC48,Gauteng,-26.28756,27.70405,Y,Y,Gauteng,DC48,West Rand District Municipality
1773,SOLPLAATJIE VILLAGE,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.17897,27.86061,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1774,PRINCESS,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.12955973,27.84905034,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1775,MUNSIEVILLE,West Rand District Municipality,DC48,Gauteng,-26.0705175,27.7585858,Y,Y,Gauteng,DC48,West Rand District Municipality
1776,RANDGATE WES,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.10446,28.00166,Y,,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1779,BEKKERSDAL,West Rand District Municipality,DC48,Gauteng,-26.2821607,27.7036143,Y,Y,Gauteng,DC48,West Rand District Municipality
1780,WESTONARIA,West Rand District Municipality,DC48,Gauteng,-26.322216,27.649012,Y,Y,Gauteng,DC48,West Rand District Municipality
