s_doctor,type,p_address_1 ,p_address_2 , gis_name,gis_post_code, x_dd , y_dd ,gis_p_prov
5600588,Gov,HOSPITAL STREET             ,RIVERSDALE                  ,RIVERSDALE                  ',6670,21.26,-34.10,Western Cape                '
5600596,Gov,VAN OUTSHOORN STREET        ,ROBERTSON                   ,ROBERTSON                   ',6705,19.88,-33.80,Western Cape                '
5600634,Gov,BEACH ROAD                  ,GREEN POINT                 ,GREEN POINT                 ',8005,18.41,-33.90,Western Cape                '
5600650,Gov,MERRIMAN LANE               ,STELLENBOSCH                ,STELLENBOSCH                ',7600,18.85,-33.93,Western Cape                '
5600677,Gov,P G NELSON STREET           ,MALMESBURY                  ,MALMESBURY                  ',7300,18.72,-33.46,Western Cape                '
5600685,Gov,UNKNOWN                     ,SWELLENDAM                  ,SWELLENDAM                  ',6740,20.43,-34.02,Western Cape                '
5600766,Gov,VOORTREKKER ROAD            ,VREDENBURG                  ,VREDENBURG                  ',7380,17.99,-32.90,Western Cape                '
5600774,Gov,KOÃ\x96PERASIE STREET          ,VREDENDAL                   ,VREDENDAL                   ',8160,18.50,-31.66,Western Cape                '
5600804,Gov,                            ,FORT BEAUFORT               ,FORT BEAUFORT               ',5720,20.85,-34.39,Western Cape                '
5600820,Gov,CNR PARK & MILNER RD        ,RONDEBOSCH                  ,RONDEBOSCH                  ',7700,18.47,-33.95,Western Cape                '
5600839,Gov,MOUNTAIN RD                 ,WOODSTOCK                   ,SALT RIVER                  ',7925,18.47,-33.92,Western Cape                '
5602181,Gov,UNKNOWN                     ,TYGERBERG                   ,PAROW                       ',7500,18.60,-33.90,Western Cape                '
5602513,Gov,SCNTR                       ,EPPING INDUSTRIAL AREA      ,GOODWOOD                    ',7460,18.55,-33.91,Western Cape                '
5602750,Gov, VICTORIA HOSPITAL          ,ALPHEN HILL ROAD            ,CAPE TOWN                   ',7800,18.42,-33.92,Western Cape                '
5602890,Gov,DE LA HAYE AVENUE           ,BELLVILLE                   ,BELLVILLE                   ',7530,18.66,-33.88,Western Cape                '
5602920,Gov,OBSERVATORY STREET          ,OBSERVATORY                 ,OBSERVATORY                 ',7930,18.46,-33.93,Western Cape                '
5603080,Gov,MOUNTAIN ROAD               ,WOODSTOCK                   ,SALT RIVER                  ',7925,18.47,-33.92,Western Cape                '
5603277,Gov,DUINEFONTEIN ROAD           ,MANENBERG                   ,GATESVILLE                  ',7764,18.53,-33.97,Western Cape                '
5603293,Gov,WESFLEUR CIRCLE             ,ATLANTIS                    ,DASSENBERG                  ',7349,18.48,-33.56,Western Cape                '
5603315,Gov,VOORTREKKER RD              ,LAINGSBURG                  ,LAINGSBURG                  ',6900,20.85,-33.19,Western Cape                '
5603404,Gov,HOSPITAL STREET             ,HERMANUS                    ,HERMANUS                    ',7200,19.23,-34.41,Western Cape                '
5603439,Gov,CNR ALEXANDRA & ANNEX ROADS ,MAITLAND                    ,MAITLAND                    ',7405,18.53,-33.92,Western Cape                '
5603498,Gov,HOOFSTR 25                  ,KAAPSTAD                    ,CAPE TOWN                   ',8001,18.42,-33.92,Western Cape                '
5603501,Gov,LAVIS DVE                   ,BISHOP LAVIS                ,MATROOSFONTEIN              ',7490,18.57,-33.93,Western Cape                '
